content_calendar_key,post_id,content,post_name,content_type,platform,account,published_in,link,status,publish_date
content-calendar--36,36,[TECNOLOGIA] IA Humanizando Cada Passo do Torcedor,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/a-evolução-da-inteligência-artificial-no-relacionamento-com-o-torcedor-o-futuro-da-experiência-no-a84ac5caef54,Postado,8/12/2025
content-calendar--37,37,[NEGÓCIOS] Sócio Gratuito Funciona? A Estratégia Freemium no Futebol,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/s%C3%B3cio-gratuito-funciona-a-estrat%C3%A9gia-freemium-no-futebol-463b3631f538,Postado,22/12/2025
content-calendar--38,38,[GESTÃO] Por que um clube de futebol deveria ter um PMO,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/por-que-um-clube-de-futebol-precisa-de-um-pmo-e-por-que-isso-não-é-luxo-f1ecf7ec5698,Postado,30/11/2025
content-calendar--39,39,[GESTÃO] Por Que Tantos Clubes Não Conseguem Tirar o Planejamento Estratégico do Papel?,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/por-que-tantos-clubes-n%C3%A3o-conseguem-tirar-o-planejamento-estrat%C3%A9gico-do-papel-1ce72d239cdb,Postado,3/11/2025
content-calendar--40,40,[NEGÓCIOS] Depois do Boom das Bets: Qual Será a Próxima Grande Fonte de Receita do Futebol?,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/71d8e5c996d5,Postado,27/10/2025
content-calendar--41,41,[NEGÓCIOS] A Imagem do Atleta Como Ativo Estratégico: Reflexões a Partir da Fórmula 1,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/a-imagem-do-atleta-como-ativo-estratégico-reflexões-a-partir-da-fórmula-1-219b5f989a9c,Postado,24/7/2025
content-calendar--42,42,"""[TECNOLOGIA] A Web Não Está Morta, Mas Está Mudando: Como a IA Está Redefinindo Tudo""",Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/a-web-não-está-morta-mas-está-mudando-como-a-ia-está-redefinindo-tudo-2f71a0aefe40,Postado,6/5/2025
content-calendar--43,43,[TECNOLOGIA] O quanto sua organização esportiva está atrasada? A tecnologia já mostra.,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/o-quanto-sua-organiza%C3%A7%C3%A3o-esportiva-est%C3%A1-atrasada-a-tecnologia-j%C3%A1-mostra-7cea1334e7b7,Postado,29/4/2025
content-calendar--44,44,[OUTRO] De São Gonçalo ao Real Madrid: O Segredo do Sucesso de Vinicius Junior Que Você Precisa Conhecer!,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/de-s%C3%A3o-gon%C3%A7alo-ao-real-madrid-o-segredo-do-sucesso-de-vinicius-junior-que-voc%C3%AA-precisa-conhecer-5f91fe4841a2,Postado,18/6/2024
content-calendar--45,45,[TECNOLOGIA] Apresentando o GPT-4o: Um Avanço na IA com Demonstrações de Reconhecimento de Imagens em Esportes,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/apresentando-o-gpt-4o-um-avan%C3%A7o-na-ia-com-demonstra%C3%A7%C3%B5es-de-reconhecimento-de-imagens-em-esportes-1c17c96002bc,Postado,23/5/2024
content-calendar--46,46,[FUTEBOL] Como a Inteligência Artificial pode Revolucionar a Gestão de Talentos no Futebol de Base,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/como-a-intelig%C3%AAncia-artificial-pode-revolucionar-a-gest%C3%A3o-de-talentos-no-futebol-de-base-c548714a8013,Postado,15/5/2024
content-calendar--47,47,[FUTEBOL] Brasil Sediará a Copa do Mundo de Futebol Feminino 2027: Um Olhar na Evolução do Futebol Feminino no País,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/brasil-sediar%C3%A1-a-copa-do-mundo-de-futebol-feminino-2027-um-olhar-na-evolu%C3%A7%C3%A3o-do-futebol-feminino-b8685018c507,Postado,23/5/2024
content-calendar--48,48,[TECNOLOGIA] A Revolução Esportiva que Já Começou: Como a IA Está Mudando Tudo,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/a-revolu%C3%A7%C3%A3o-esportiva-que-todos-est%C3%A3o-falando-ia-em-a%C3%A7%C3%A3o-15dd75a56d9f,Postado,15/12/2025
content-calendar--49,49,"""[NEGÓCIOS] Se fosse uma empresa, seu clube sobreviveria sem uma área comercial forte?""",Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/se-fosse-uma-empresa-seu-clube-sobreviveria-sem-uma-%C3%A1rea-comercial-forte-9a319bc3f310,Postado,20/10/2025
content-calendar--50,50,[NEGÓCIOS] O que o Ajax pode ensinar aos clubes brasileiros sobre sustentabilidade financeira,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/o-que-o-ajax-pode-ensinar-aos-clubes-brasileiros-sobre-sustentabilidade-financeira-08bf6980b147,Postado,24/10/2025
content-calendar--51,51,[TECNOLOGIA] Se você acha que a CazéTV revolucionou a transmissão esportiva… espere só até a tecnologia entrar de vez em campo.,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/se-voc%C3%AA-acha-que-a-caz%C3%A9tv-revolucionou-a-transmiss%C3%A3o-esportiva-espere-s%C3%B3-at%C3%A9-a-tecnologia-entrar-d152a5cdb451,Postado,3/11/2025
content-calendar--52,52,"""[TECNOLOGIA] A próxima revolução esportiva não virá do campo, virá dos algoritmos""",Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/a-pr%C3%B3xima-revolu%C3%A7%C3%A3o-esportiva-n%C3%A3o-vir%C3%A1-do-campo-vir%C3%A1-dos-algoritmos-f440292d14c0,Postado,27/10/2025
content-calendar--53,53,[ANÁLISE] Batalha dos Sexos: debate por equidade ou espetáculo que reforça hierarquias?,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/batalha-dos-sexos-debate-por-equidade-ou-espet%C3%A1culo-que-refor%C3%A7a-hierarquias-8e173378212a,Postado,30/12/2025
content-calendar--54,54,[NEGÓCIOS] Os Primeiros 90 Dias na Gestão de Negócios do Clube,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_os-primeiros-90-dias-ao-assumir-o-departamento-activity-7396341162262831104-lvMT?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,17/11/2025
content-calendar--55,55,[GESTÃO] Fair Play Financeiro: o que muda no futebol brasileiro?,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_o-fair-play-financeiro-da-cbf-est%C3%A1-chegando-activity-7400175537668759553-F50K?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,27/11/2025
content-calendar--56,56,"""[NEGÓCIOS] Naming Rights não salvam clubes. Mas sem eles, muitos ficam para trás.""",Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_naming-rights-n%C3%A3o-salvam-clubes-mas-sem-activity-7411375510762668033-NIuR?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,29/12/2025
content-calendar--57,57,[TECNOLOGIA] IA Humanizando Cada Passo do Torcedor,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_a-evolu%C3%A7%C3%A3o-da-ia-no-relacionamento-com-activity-7403765381141659648-8HrZ?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,8/12/2025
content-calendar--58,58,[NEGÓCIOS] Sócio Gratuito Funciona? A Estratégia Freemium no Futebol,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_s%C3%B3cio-gratuito-funciona-a-estrat%C3%A9gia-freemium-activity-7408838743916429312-uhoK?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,22/12/2025
content-calendar--59,59,[GESTÃO] Por que um clube de futebol deveria ter um PMO,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_por-que-um-clube-de-futebol-deveria-ter-um-activity-7401258863456358400-L17e?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,30/11/2025
content-calendar--60,60,[GESTÃO] Por Que Tantos Clubes Não Conseguem Tirar o Planejamento Estratégico do Papel?,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_mapa-de-performance-estrat%C3%A9gica-lucas-oaigen-activity-7391614017401749504-ibgL?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,3/11/2025
content-calendar--61,61,[NEGÓCIOS] Depois do Boom das Bets: Qual Será a Próxima Grande Fonte de Receita do Futebol?,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_do-boom-das-bets-%C3%A0-nova-onda-ser%C3%A1-que-activity-7388592992028164096-9-I4?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,27/10/2025
content-calendar--62,62,[NEGÓCIOS] A Imagem do Atleta Como Ativo Estratégico: Reflexões a Partir da Fórmula 1,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_marketingesportivo-futebol-gestaetoesportiva-activity-7354327781821874177-y5Wv?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,24/7/2025
content-calendar--63,63,"""[TECNOLOGIA] A Web Não Está Morta, Mas Está Mudando: Como a IA Está Redefinindo Tudo""",Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_generativeai-futureofweb-chatgpt-activity-7325672812507992068-0Qe1?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,6/5/2025
content-calendar--64,64,[TECNOLOGIA] O quanto sua organização esportiva está atrasada? A tecnologia já mostra.,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_technology-is-evolving-fast-human-like-robots-activity-7323024295125790720-mQJQ?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,29/4/2025
content-calendar--65,65,[OUTRO] De São Gonçalo ao Real Madrid: O Segredo do Sucesso de Vinicius Junior Que Você Precisa Conhecer!,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_vinijunior-againstracism-viniciusjunior-activity-7208808022226128897-LwLy?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,18/6/2024
content-calendar--66,66,[TECNOLOGIA] Apresentando o GPT-4o: Um Avanço na IA com Demonstrações de Reconhecimento de Imagens em Esportes,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_ai-openai-gpt4o-activity-7195884572771840000-hcIb?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,23/5/2024
content-calendar--67,67,[FUTEBOL] Como a Inteligência Artificial pode Revolucionar a Gestão de Talentos no Futebol de Base,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_ia-inteligenciaartifical-gestaoesportiva-activity-7189958998450675713-L0Mq?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,15/5/2024
content-calendar--68,68,[FUTEBOL] Brasil Sediará a Copa do Mundo de Futebol Feminino 2027: Um Olhar na Evolução do Futebol Feminino no País,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_womenfootball-fifawwc-fifawwc2027-activity-7199710766046814209-rJ4K?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,23/5/2024
content-calendar--69,69,[TECNOLOGIA] A Revolução Esportiva que Já Começou: Como a IA Está Mudando Tudo,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_sportstech-iagenerativa-inteligenciaartificial-activity-7406302198621691904-NVm_?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,15/12/2025
content-calendar--70,70,[TECNOLOGIA] Biometria nos Estádios - Minha visão e convite para debater como vocês têm tratado esse assunto em seus clubes ou arenas?,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_gestaodeestaerdios-futebolbrasileiro-biometria-activity-7345639320050909185-mxbK?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,23/6/2025
content-calendar--71,71,[OUTRO] Aprendizados de um Início de Jornada no Futebol,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_aprendizados-de-um-in%C3%ADcio-de-jornada-no-futebol-activity-7371258463458365440-YVW6?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,6/10/2025
content-calendar--72,72,"""[NEGÓCIOS] Se fosse uma empresa, seu clube sobreviveria sem uma área comercial forte?""",Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_gestaetoesportiva-futebol-marketingesportivo-activity-7375902968128098305-yAJp?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,20/10/2025
content-calendar--73,73,[NEGÓCIOS] O que o Ajax pode ensinar aos clubes brasileiros sobre sustentabilidade financeira,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_o-que-o-ajax-pode-ensinar-aos-clubes-brasileiros-activity-7379185702758146048-5xBo?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,24/10/2025
content-calendar--74,74,[TECNOLOGIA] Se você acha que a CazéTV revolucionou a transmissão esportiva… espere só até a tecnologia entrar de vez em campo.,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_mlb-app-now-available-for-android-xr-activity-7387550796881752064-BVZO?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,3/11/2025
content-calendar--75,75,"""[TECNOLOGIA] A próxima revolução esportiva não virá do campo, virá dos algoritmos""",Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_ai-transforming-uae-sports-with-innovation-activity-7388663867364626432-SnlP?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,27/10/2025
content-calendar--76,76,[ANÁLISE] Batalha dos Sexos: debate por equidade ou espetáculo que reforça hierarquias?,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_batalha-dos-sexos-debate-por-equidade-ou-activity-7411738170037473280-1Y2m?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,30/12/2025
content-calendar--77,77,[NEGÓCIOS] Os Primeiros 90 Dias na Gestão de Negócios do Clube,Post do Artigo no Insta,Post,Instagram,Brain Sports,Instagram Brain Sports (Post),https://www.instagram.com/p/DSc0TApEbSI/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Postado,17/11/2025
