content_published_key,content_name,title,type,description,info_source,prompt_de_imagem,status,published_in,published_date,content_calendar_snapshot
content-published--0023,"[NEGÓCIOS] Naming Rights não salvam clubes. Mas sem eles, muitos ficam para trás.","Naming Rights não salvam clubes. Mas sem eles, muitos ficam para trás.",NEGÓCIOS,"Episódio sobre o que faz um projeto de naming rights funcionar: visibilidade, ativação, contrato, riscos de imagem e a diferença entre “vender um nome” e criar um ativo conjunto com o patrocinador.",https://docs.google.com/document/d/1AnqAzTcjsFq5VAUASHJ6j63oeYTEWgTOzLBI8arceLg/edit?tab=t.0 https://docs.google.com/document/d/1qNHc0OaZj0dPlBKp55v05SRXLAyMq6sMCvFOf6nBMS8/edit?tab=t.0,Stadium outline minimal with elegant typography placeholder.,Publicado,"Spotify Brain Sports (Podcast), Medium Lucas Oaigen (Artigo), LinkedIn Lucas Oaigen (Post), Instagram Brain Sports (Post)",29/12/2025,"12,35,56,79"
content-published--0024,[NEGÓCIOS] Patrocínio Digital: O Ativo Mais Subestimado do Clube,Patrocínio Digital: O Ativo Mais Subestimado do Clube,NEGÓCIOS,"Como transformar redes sociais, apps, streaming e conteúdos digitais em ativos comerciais estruturados, com métricas, formatos e entregas claras para marcas que querem performance, não só visibilidade.",,"Digital particles flowing over football geometry, neon.",Planejado,,9/3/2026,
content-published--0025,[FUTEBOL] Futebol Feminino Como Motor de Crescimento do Clube,Futebol Feminino Como Motor de Crescimento do Clube,FUTEBOL,"Muito além da pauta social, o futebol feminino como vetor de expansão de marca, novos públicos, receita e inovação. Discutimos caminhos, armadilhas e exemplos de quem está fazendo bem.",,Feminine silhouette merged with football geometry.,Planejado,,1/6/2026,
content-published--0026,[GESTÃO] Subir ou Cair: A Matemática que Pode Salvar ou Quebrar um Clube,Subir ou Cair: A Matemática que Pode Salvar ou Quebrar um Clube,GESTÃO,"O impacto financeiro real de acesso e descenso. Falamos de premiações, cota de TV, patrocinadores, folha salarial e por que alguns clubes sobem e desmoronam, enquanto outros caem e se reorganizam.",,Staircase geometric pattern over pitch layout.,Planejado,,1/6/2026,
content-published--0027,[NEGÓCIOS] Comunicação de Clube: Por Que é Tão Ruim e Como Consertar,Comunicação de Clube: Por Que é Tão Ruim e Como Consertar,NEGÓCIOS,"Uma análise sincera da comunicação no futebol: amadorismo, ruído político, falta de estratégia e visão de longo prazo. Trazemos caminhos práticos para estruturar narrativa e processos de comunicação.",,Broken communication icons over subtle pitch geometry.,Planejado,,26/3/2026,
content-published--0028,[TECNOLOGIA] IA no Futebol Hoje: Onde Ela Já Está Sem Você Perceber,IA no Futebol Hoje: Onde Ela Já Está Sem Você Perceber,TECNOLOGIA,"Um giro pelos bastidores do uso de IA no futebol: análise de desempenho, scouting, gestão de elenco, relacionamento com torcedores e operação de dia de jogo. Casos concretos e tendências.",,"Neural network merging with football textures, dark neon.",Planejado,,1/6/2026,
content-published--0029,[TECNOLOGIA] Clube Data-Driven: Como Virar uma Empresa de Dados,Clube Data-Driven: Como Virar uma Empresa de Dados,TECNOLOGIA,"O que significa, na prática, ser um clube orientado a dados. Falamos de CRM, BI, governança, cultura interna e como começar mesmo com estrutura pequena.",,Abstract data grid with football texture embedded.,Planejado,,12/3/2026,
content-published--0030,[TECNOLOGIA] IA Generativa no Futebol: Do Conteúdo à Tomada de Decisão,IA Generativa no Futebol: Do Conteúdo à Tomada de Decisão,TECNOLOGIA,"Como IA generativa já está mudando produção de conteúdo, atendimento, estudo de adversários, relatórios e suporte à decisão executiva. Exemplos práticos e cuidados éticos.",,Large abstract brain in geometric neon lines.,Planejado,,1/6/2026,
content-published--0031,[TECNOLOGIA] Por Que Tanta Gente no Futebol Ainda Tem Medo de Tecnologia,Por Que Tanta Gente no Futebol Ainda Tem Medo de Tecnologia,TECNOLOGIA,"Um episódio sobre cultura, ego, insegurança e desconhecimento. Por que tanta gente resiste a tecnologia e como criar pontes para implementar soluções sem romper relações.",,Tech vs sports friction in minimalist abstract form.,Planejado,,1/6/2026,
content-published--0032,[TECNOLOGIA] Departamento de Análise 2.0: Como Vai Ser o Próximo Passo,Departamento de Análise 2.0: Como Vai Ser o Próximo Passo,TECNOLOGIA,"A evolução dos departamentos de análise: do cortes de vídeo isolados para hubs integrados de informação. Falamos de perfil de equipe, ferramentas, processos e relacionamento com comissão técnica.",,Analytics dashboard abstract in football layout.,Planejado,,1/6/2026,
content-published--0033,[TECNOLOGIA] IA Humanizando Cada Passo do Torcedor,IA Humanizando Cada Passo do Torcedor,TECNOLOGIA,"A relação entre clubes e torcedores está passando por uma transformação silenciosa, profunda e irreversível. Neste episódio, exploramos como a Inteligência Artificial está deixando de ser apenas uma ferramenta técnica nos bastidores e se tornando o novo alicerce da experiência do fã moderno. Por décadas, o relacionamento no futebol foi marcado por campanhas massivas, mensagens genéricas e comunicação padronizada. Funcionava, mas não encantava. Hoje, graças à IA conversacional e aos modelos de linguagem, clubes começam a construir diálogos reais, compreender intenções, antecipar necessidades e entregar experiências personalizadas em escala. É uma mudança estrutural, que redefine não só a jornada do torcedor, mas o papel dos clubes na vida das pessoas. Ao longo do episódio, apresento um caso exemplar: João, um torcedor comum que, graças à integração entre dados, automação e inteligência, vive uma jornada totalmente personalizada — do convite para o jogo ao pós-partida. A IA reconhece padrões, identifica oportunidades, remove barreiras e transforma uma simples ida ao estádio em um momento memorável com sua filha. Esse é o poder da tecnologia quando aplicada com sensibilidade. Discutimos também os benefícios concretos desse novo modelo: aumento de engajamento, novas receitas, previsibilidade operacional, relacionamento contínuo e fortalecimento da identidade emocional do torcedor. E vamos além, olhando para o futuro que já desponta. Um futuro onde cada fã terá um assistente autônomo que organiza sua rotina esportiva, onde os estádios se adaptam em tempo real ao comportamento das pessoas, onde os patrocinadores entregam ofertas realmente relevantes, e onde a IA entende não apenas o que o torcedor faz — mas como ele sente. Mais do que tecnologia, estamos falando de proximidade. De devolver ao futebol aquilo que sempre o tornou único: a conexão humana. Se você trabalha no esporte, lidera projetos digitais ou simplesmente acredita no potencial da inovação para transformar experiências, este episódio é para você. A IA não veio para substituir a paixão. Veio para ampliá-la. Prepare-se para enxergar o relacionamento com o torcedor sob uma nova perspectiva — mais inteligente, mais emocional e profundamente humana.",,"Crie uma capa profissional para um podcast sobre a transformação da fan experience no futebol através da inteligência artificial. A arte deve transmitir inovação, tecnologia e emoção esportiva ao mesmo tempo. Use um estilo moderno, clean e executivo. Elementos visuais desejados: Um estádio de futebol estilizado ao fundo, com iluminação dramática. Elementos visuais de IA: circuitos, hologramas, padrões neurais, conexões digitais ou luzes fluindo. Um smartphone exibindo uma conversa entre clube e torcedor, simbolizando IA conversacional. Torcedor em silhueta ou estilo minimalista, representando a jornada do fã. Paleta de cores moderna: azul escuro, preto, verde brilhante ou azul neon como destaque tecnológico. Título do podcast (placeholder): “A Nova Fan Experience Inteligente” Estética geral futurista, sofisticada e de alto padrão, com foco em clareza e impacto visual. Instruções adicionais: Layout quadrado (formato típico de capa de podcast). Tipografia limpa, forte e legível mesmo em tamanhos pequenos. Evite excesso de elementos; priorize equilíbrio entre futebol e tecnologia. Atmosfera que combine emoção do esporte com precisão da IA.",Publicado,"Spotify Brain Sports (Podcast), Medium Lucas Oaigen (Artigo), LinkedIn Lucas Oaigen (Post), Instagram Brain Sports (Post)",8/12/2025,"13,36,57,80"
content-published--0034,[TECNOLOGIA] Ecossistema de Inovação no Clube: Como Não Virar Só Mais um Projeto Piloto,Ecossistema de Inovação no Clube: Como Não Virar Só Mais um Projeto Piloto,TECNOLOGIA,"Como estruturar um ecossistema de inovação com hubs, startups, universidades e parceiros sem cair na armadilha do “evento bonito sem continuidade”. Processos, critérios e governança.",,"Ecosystem nodes interlinked, sports background.",Planejado,,1/6/2026,
content-published--0035,[TECNOLOGIA] Clube Como Plataforma: Do Time ao Ecossistema de Serviços,Clube Como Plataforma: Do Time ao Ecossistema de Serviços,TECNOLOGIA,"O clube como plataforma que conecta torcedores, marcas, fornecedores, criadores e comunidade. Falamos de marketplace, serviços, dados e o que muda quando o clube se enxerga como plataforma, não só como time.",,Layered geometric blocks hovering over pitch graphics.,Planejado,,1/6/2026,
content-published--0036,[NEGÓCIOS] Sócio Gratuito Funciona? A Estratégia Freemium no Futebol,Sócio Gratuito Funciona? A Estratégia Freemium no Futebol,NEGÓCIOS,"Uma discussão sobre planos gratuitos de sócio-torcedor: prós, contras, formas de monetizar a base gratuita e como isso pode conviver com categorias pagas sem desvalorizar quem já contribui financeiramente.",https://chatgpt.com/s/dr_693eb5cd46b48191a1d6edce744775da https://docs.google.com/document/d/1K2I-_CaRlKgG6LQ41pwIQK75FunD_KbfVbKOtMNLNCo/edit?tab=t.0 https://docs.google.com/document/d/1fYnZJ6PBIKJYIaks_5WjjL9wJ67jnwxrhwSN6qq92EA/edit?tab=t.0,"Uma arte moderna e limpa representando o tema “Freemium no Futebol”. Fundo em tons escuros com elementos visuais de estádio, torcida e ícones digitais (como gráficos, celular e cartão de sócio). No centro, o título “Freemium no Futebol” em destaque, com subtítulo “Como gerar receita com torcedores gratuitos?”. Incluir ilustrações que remetam a engajamento digital, dados e paixão pelo clube. Estilo editorial profissional, ideal para redes sociais e Spotify.",Publicado,"Spotify Brain Sports (Podcast), Medium Lucas Oaigen (Artigo), LinkedIn Lucas Oaigen (Post), Instagram Brain Sports (Post)",22/12/2025,"14,37,58,81"
content-published--0037,[GESTÃO] Por que um clube de futebol deveria ter um PMO,Por que um clube de futebol deveria ter um PMO,GESTÃO,"Este episódio explora por que clubes de futebol, independentemente do tamanho, deveriam adotar um PMO como pilar de governança e eficiência. A partir de casos de FC Barcelona, Sporting CP, Real Madrid e Chicago Fire, mostramos como a gestão de projetos ajuda a transformar estratégia em execução, organizar prioridades, melhorar processos e gerar resultados concretos em infraestrutura, operações e receitas. Um guia direto e prático para quem quer entender como profissionalizar a gestão esportiva além do discurso.",,,Publicado,"Spotify Brain Sports (Podcast), Medium Lucas Oaigen (Artigo), LinkedIn Lucas Oaigen (Post), Instagram Brain Sports (Post)",30/11/2025,"15,38,59,82"
content-published--0038,[FUTEBOL] Brasileirão em Janeiro: Quem Sai na Frente e Quem Pode Quebrar Fisicamente,Brasileirão em Janeiro: Quem Sai na Frente e Quem Pode Quebrar Fisicamente,FUTEBOL,"A antecipação do Brasileirão muda completamente o jogo. Neste episódio, analisamos quais clubes chegam mais prontos por manterem a base, como a pré-temporada encurtada pode impactar desempenho, quais riscos reais de lesão se elevam no novo calendário e por que alguns elencos vão sentir o peso antes dos outros. Um debate direto, baseado em dados, fisiologia e planejamento esportivo, para entender quem larga melhor e quem pode pagar a conta cedo demais.",,,Planejado,,1/6/2026,
content-published--0039,[GESTÃO] Os Vencedores Invisíveis: Quem Entregou Mais do que o Orçamento Permitiria,Os Vencedores Invisíveis: Quem Entregou Mais do que o Orçamento Permitiria,GESTÃO,"Nem sempre o melhor início de temporada pertence aos clubes mais ricos. Aqui analisamos quem está performando acima do esperado em relação ao próprio orçamento, folha salarial e profundidade de elenco. Falamos de gestão eficiente, tomada de decisão, uso inteligente do elenco e sinais que indicam se essa performance pode se sustentar. Um episódio perfeito para separar mérito real de narrativa e enxergar valor onde o mercado muitas vezes não olha.",,,Planejado,,1/6/2026,
content-published--0040,[GESTÃO] Por Que Tantos Clubes Não Conseguem Tirar o Planejamento Estratégico do Papel?,Por Que Tantos Clubes Não Conseguem Tirar o Planejamento Estratégico do Papel?,GESTÃO,"Por que tantos clubes ainda não têm um plano estratégico funcionando de verdade? Depois de mais de duas décadas liderando organizações em diferentes setores, percebo algo em comum na maioria dos clubes com que tenho contato: a ausência de um planejamento estratégico que realmente funcione na prática. Independentemente do tamanho, todo clube pode (e deve) adotar uma gestão mais estratégica e adaptada à sua realidade. Não é sobre complexidade, é sobre método. E, na maioria dos casos, o que falta é uma estrutura clara, com processos simples e bem conectados. Foi com esse propósito que criei o Mapa de Performance Estratégica, um framework prático que organiza as áreas de Futebol, Negócios, Comunidade e Administração, conectando pilares, áreas, KPIs e projetos estratégicos. Ele foi feito para ser usado imediatamente, como ponto de partida para quem quer profissionalizar a gestão sem precisar começar do zero. Além disso, desenvolvi uma base com quase 1.000 KPIs reais, prontos para aplicação em clubes de diferentes portes e níveis de maturidade, servindo como referência para quem quer implementar um modelo de gestão mensurável e contínuo. Embora o material já seja bastante completo, reconheço que o Mapa está em constante evolução, especialmente quando adaptado à realidade de cada clube. É justamente essa capacidade de personalização que o torna mais útil e duradouro. A ideia é simples: planejar, executar e acompanhar resultados com consistência, transformando o planejamento em um sistema vivo de gestão e evolução permanente. Ficarei feliz em ouvir opiniões, trocar experiências e aprimorar esse modelo junto com outros profissionais e gestores esportivos. Se quiser conversar sobre o tema, é só me chamar ou deixar um comentário abaixo.",,,Publicado,"Spotify Brain Sports (Podcast), Medium Lucas Oaigen (Artigo), LinkedIn Lucas Oaigen (Post), Instagram Brain Sports (Post)",3/11/2025,"16,39,60,83"
content-published--0041,[NEGÓCIOS] Depois do Boom das Bets: Qual Será a Próxima Grande Fonte de Receita do Futebol?,Depois do Boom das Bets: Qual Será a Próxima Grande Fonte de Receita do Futebol?,NEGÓCIOS,"Nos últimos anos, o esporte brasileiro viveu uma verdadeira revolução no patrocínio. Depois dos bancos e fintechs, vieram as bets, que dominaram os uniformes, os painéis e até o vocabulário do torcedor. Mas a pergunta que me faço é: qual será a próxima onda? A minha aposta, com o perdão do trocadilho, é que ela virá das empresas de Inteligência Artificial voltadas ao consumidor final (B2C). Assistentes pessoais, plataformas de produtividade, tradutores instantâneos, copilotos de tarefas e todo tipo de IA que você, eu e milhões de pessoas vão usar no dia a dia. Essas empresas vivem hoje um cenário muito parecido com o das apostas há 5 anos: competição altíssima, crescimento exponencial e necessidade urgente de visibilidade. E, assim como as bets, vão precisar de um palco de massa para se consolidar. O esporte é esse palco. É onde a marca ganha emoção, narrativa e pertencimento. E num mercado onde todo mundo promete a “melhor IA”, será o branding emocional, não só a tecnologia, que vai definir quem se tornará o “ChatGPT do público comum”. Já vemos sinais disso lá fora: - O Google Cloud é “patrocinador oficial de IA” da MLB; - A Intel levou o título de “plataforma de IA oficial” das Olimpíadas de Paris; - A Microsoft e a OpenAI estão começando a aparecer em acordos esportivos de visibilidade global; - E startups como a Perplexity já patrocinam treinadores e eventos nos EUA. Enquanto isso, o Brasil continua com o esporte dominado pelas bets, um modelo rentável, mas que já começa a mostrar saturação. E é justamente nesses momentos que as novas ondas surgem. Minha leitura é que, entre 2027 e 2030, veremos as primeiras empresas de IA B2C investindo pesado em patrocínio esportivo no país. Porque, no fim, o que vai definir quem conquista o público não é só quem tem o algoritmo mais inteligente, mas quem se conecta melhor com as pessoas.",,,Publicado,"Spotify Brain Sports (Podcast), Medium Lucas Oaigen (Artigo), LinkedIn Lucas Oaigen (Post), Instagram Brain Sports (Post)",27/10/2025,"17,40,61,84"
content-published--0042,[NEGÓCIOS] A Imagem do Atleta Como Ativo Estratégico: Reflexões a Partir da Fórmula 1,A Imagem do Atleta Como Ativo Estratégico: Reflexões a Partir da Fórmula 1,NEGÓCIOS,"O valor da imagem do atleta no esporte moderno: uma reflexão a partir da Fórmula 1 Acabei de assistir ao novo filme da Fórmula 1 e, como quem vive o esporte também nos bastidores, não consegui deixar de pensar no impacto que a imagem dos atletas tem sobre o valor de uma modalidade. A série Drive to Survive já havia mostrado isso com clareza: atletas que se tornam personagens, histórias que se tornam conteúdo, e o esporte que se transforma em um ativo cultural e comercial. Nem todos os pilotos se sentiram confortáveis com a superexposição e tudo bem, mas muitos entenderam que a imagem deles gera valor para o esporte como um todo. No futebol e em outras modalidades, essa consciência ainda precisa ser fortalecida. É papel dos clubes e organizações mostrar aos seus atletas o impacto que suas imagens têm na geração de receita, engajamento e fortalecimento institucional. E é papel dos atletas apoiar esse processo com profissionalismo, mesmo que nem sempre seja confortável. Escrevi um artigo sobre isso: sobre a necessidade de engajar os atletas na construção de valor de suas próprias imagens e como essa visão coletiva pode transformar clubes e modalidades. Deixo o link aqui e ficarei feliz em trocar ideias com quem vive ou acompanha essa realidade. No fim das contas, performance e projeção caminham juntas. E quando atletas entendem isso, todo o ecossistema esportivo ganha.",,,Publicado,"Spotify Brain Sports (Podcast), Medium Lucas Oaigen (Artigo), LinkedIn Lucas Oaigen (Post), Instagram Brain Sports (Post)",24/7/2025,"18,41,62,85"
