activation_key,activation,categoria,status,local,comentarios,nivel,necessario_para_rodar,custo_estimado,pode_ser_com_parceiro
activation--torneios-de-teqball-com-marca-do-clube,Torneios de teqball com marca do clube,Jogos e Atividades,Analisar,Eventos,,,,Alto (R$10.000 - R$20.000),Sim
activation--cobertura-digital-torcida-bastidores-lances-atmosfera,"Cobertura Digital (torcida, bastidores, lances, atmosfera)",Redes Sociais,Ativa,Jogos,,,,Baixíssimo (< R$1.000),Não
activation--concursos-pre-jogo-ex-acerte-o-placar-e-ganhe-x-com-premios,"Concursos pré-jogo (ex: ""acerte o placar e ganhe X"") com prêmios",Redes Sociais,Piloto,Jogos,,,,Baixíssimo (< R$1.000),Sim
activation--enquetes-interativas-quem-sera-o-craque-do-jogo,"Enquetes interativas (""Quem será o craque do jogo?"")",Redes Sociais,Piloto,Jogos,,,,Baixíssimo (< R$1.000),Não
activation--filtros-de-realidade-aumentada-tematicos-para-stories,Filtros de Realidade Aumentada temáticos para stories,Tecnologia,Inviável,Jogos,,,,Médio (R$5.000 - R$10.000),Não
activation--desafios-tecnicos-com-inteligencia-artificial-ex-precisao-de-chute,Desafios técnicos com inteligência artificial (ex: precisão de chute),Tecnologia,Inviável,Jogos,,,,Alto (R$10.000 - R$20.000),Não
activation--estacao-de-selecao-de-time-dos-sonhos-fantasy,Estação de seleção de time dos sonhos (fantasy),Tecnologia,Inviável,Jogos,,,,Baixíssimo (< R$1.000),Sim
activation--filmagens-com-drone-para-conteudo-promocional,Filmagens com drone para conteúdo promocional,Tecnologia,Inviável,Jogos,,,,Médio (R$5.000 - R$10.000),Sim
activation--gamificacao-da-experiencia-no-estadio-atraves-do-app-desafios-premios,"Gamificação da experiência no estádio através do app (desafios, prêmios)",Tecnologia,Inviável,Jogos,,,,Médio (R$5.000 - R$10.000),Não
activation--premiacao-por-fidelidade-socio-que-entra-mais-cedo-vai-a-todos-os-jogos,Premiação por Fidelidade (Sócio que entra mais cedo/vai a todos os jogos),Experiência com Torcedores,Piloto,Jogos,,,,Baixíssimo (< R$1.000),Não
activation--publicidade-digital-em-locais-iconicos-times-square,Publicidade digital em locais icônicos (Times Square),Tecnologia,Futuro,Itinerante,,,,Altíssimo (> R$20.000),Sim
activation--tecnologia-beacon-para-marketing-de-proximidade-e-ofertas-personalizadas,Tecnologia Beacon para marketing de proximidade e ofertas personalizadas,Tecnologia,Inviável,Jogos,,,,Baixo (R$3.000 - R$5.000),Não
activation--uso-de-inteligencia-artificial-ia-para-personalizar-ofertas-conteudo,Uso de Inteligência Artificial (IA) para personalizar ofertas/conteúdo,Tecnologia,Inviável,Jogos,,,,Baixo (R$3.000 - R$5.000),Não
activation--lancamento-de-produtos-tematicos-comemorativos-em-dias-de-jogo,Lançamento de produtos temáticos/comemorativos em dias de jogo,Venda de Produtos,Futuro,Loja,,,,Baixo (R$3.000 - R$5.000),Sim
activation--loja-e-museu-do-clube,Loja e museu do clube,Venda de Produtos,Futuro,Loja,,,,Altíssimo (> R$20.000),Não
activation--lojas-pop-up-ou-quiosques-tematicos-no-estadio,Lojas pop-up ou quiosques temáticos no estádio,Venda de Produtos,Futuro,Loja,,,,Médio (R$5.000 - R$10.000),Não
activation--personalizacao-de-produtos-no-local-camisas-com-nome-numero,Personalização de produtos no local (camisas com nome/número),Venda de Produtos,Futuro,Loja,,,,Muito Baixo (< R$3.000),Não
activation--transformar-lojas-fisicas-em-arenas-para-watch-parties-com-produtos,"Transformar lojas físicas em ""arenas"" para watch parties com produtos",Venda de Produtos,Futuro,Loja,,,,Médio (R$5.000 - R$10.000),Não
activation--venda-de-merchandising-com-descontos-promocionais-em-dias-de-jogo,Venda de merchandising com descontos promocionais em dias de jogo,Venda de Produtos,Futuro,Loja,,,,Muito Baixo (< R$3.000),Não
activation--visitas-aos-bastidores-vestiario-e-aquecimento,Visitas aos Bastidores (Vestiário e Aquecimento),Experiência com Torcedores,Piloto,Eventos e Jogos,,,,Baixo (R$3.000 - R$5.000),Sim
activation--chutar-a-bola-do-meio-campo-para-o-gol-vazio,Chutar a bola do meio-campo para o gol vazio,Jogos e Atividades,Piloto,Jogos,,,,Baixíssimo (< R$1.000),Sim
activation--competicoes-de-penaltis,Competições de Pênaltis,Jogos e Atividades,Futuro,Jogos,,,,Baixíssimo (< R$1.000),Sim
activation--brindes-com-a-esportes-da-sorte-ferroviaria,Brindes com a Esportes da Sorte + Ferroviária,Experiência com Torcedores,Ativa,Jogos,,,,Baixíssimo (< R$1.000),Sim
activation--ingressos-gratis-para-socio-torcedor,Ingressos Grátis para Sócio Torcedor,Experiência com Torcedores,Ativa,Jogos,,,,Baixo (R$3.000 - R$5.000),Não
activation--ativacoes-de-patrocinadores-a-definir-individualmente,Ativações de Patrocinadores (a definir individualmente),Experiência com Torcedores,Ativa,Jogos,,,,Baixíssimo (< R$1.000),Sim
